id;idOrderMaster;Numar Comanda;Serie;Serie/Numar;Client;Data Start;Data Finalizare;Persoana Adaugare;Stare;PRE_ID Articol;PRE_Cod Articol;PRE_Denumire Articol;PRE_Cantitate Reteta;PRE_Cantitate Predare;Greutate PRE_Articol_Totala(KG);PRE_U.M.;PRE_LOT;PRE_DataExpirare;PRE_DataProdutie;PRE_Pierdere;PRE_Pierdere_Procente;Furnizor;CON_Id Articol;CON_Cod Articol;CON_Denumire Articol;CON_Cantitate Reteta;CON_Cantitate Consumata;CON_U.M.;CON_LOT;CON_DataExpirare;CON_DataProductie;Utilaj Productie;Greutate CON_Articol(KG);Greutate CON_Articol_Totala(KG)
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;;0%;;1693;40003;ETICHETE DIRECT TERMICE 90x60MM;91.35;91.35;BUCATA;31.03.26;31/03/2028 00:00:00;;ULMA;1;91.35
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;;0%;;1702;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;88.74;88.74;BUCATA;260506;06/05/2028 00:00:00;;ULMA;0.45;39.933
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;;0%;;1972;40021;ETICHETE IMPRIMATE 90*60MM PASTRAV CURCUBEU LIDL;739.5;739.5;BUCATA;260430;30/04/2027 00:00:00;;ULMA;0;0
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;;0%;;1978;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";739.5;739.5;BUCATA;12.02.26;12/02/2028 00:00:00;;ULMA;0;0
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;;0%;;2213;60001;GAZ ALIMENTAR ALISOL;7.83;7.83;M3;260423;23/04/2028 00:00:00;;ULMA;0;0
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;;0%;;2248;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;739.5;739.5;BUCATA;260507;07/05/2028 00:00:00;;ULMA;0;0
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;0.00;0.00%;;2521;DS099904468;REFRIGERAT-P PASTRAV EVISCERAT 200-350 GRECIA;522;120;Kilogram;050526-D2;17/05/2026 00:00:00;05/05/2026 00:00:00;ULMA;1;398
276789;276788;0032183_AE;AMBALARE - ETICHETARE;AMBALARE - ETICHETARE 0032183_AE;;08/05/2026 22:54:10;08.05.2026 10:59 PM;system;Inchisa;2008;DS099904006;PF-REFRIGERAT-P PASTRAV CURCUBEU EVISCERAT GREUTATE VARIABILA ATM LIDL;87;398;398;Kilogram;131.26C1 (Cant: 202), 131.26R1 (Cant: 196);20.05.2026, 20.05.2026;2026-05-08, 2026-05-08;0.00;0.00%;GEORGES DELLIS & CO G.P.;2521;DS099904468;REFRIGERAT-P PASTRAV EVISCERAT 200-350 GRECIA;522;278;Kilogram;050526-D2;17/05/2026 00:00:00;05/05/2026 00:00:00;ULMA;1;398
