Data;Cod articol;Denumire articol;Locatie sursa;Locatie destinatie;Palet sursa;Palet destinatie;Numar comanda;Depozit;Partener;Tip operatiune;Cantitate;Persoana;Cod-motiv;Document intrare;Document comanda;Lot;UM;Proprietar;Detalii
07/05/2026 12:49:59;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032062_AE;Depozit Principal;;Ajustare negativa;-24.48;Razvan Nistor;PRODUCTION-IN;0032062_AE;0032062_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032062_AE
07/05/2026 12:50:00;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032062_AE;Depozit Principal;;Ajustare negativa;-24.48;Razvan Nistor;PRODUCTION-IN;0032062_AE;0032062_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032062_AE
07/05/2026 15:00:46;40021;ETICHETE IMPRIMATE 90*60MM PASTRAV CURCUBEU LIDL;DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-2669;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;260430;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 15:00:47;20020;"FILM IMPRIMAT ""FRESH FISH TODAY"" PASTRAV CURCUBEU LIDL";DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-2669;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;12.02.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 15:00:48;60001;GAZ ALIMENTAR ALISOL;DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-28.26;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;260423;M3;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 15:00:48;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-329.7;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 15:00:49;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-24.7100000000001;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 15:01:12;50012;CASEROLE PP TRANSPARENTE 325x160x50MM ABS INCLUS;DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-991.8;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;260507;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 15:01:36;10002;CUTIE FRESH DIM INTERIOARA 342x342x208MM;DEPAMB;DEPAMB;;;0032064_AE;Depozit Principal;;Ajustare negativa;-295.57;Andrei Bodirlau;PRODUCTION-IN;0032064_AE;0032064_AE;260506;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: AMBALARE - ETICHETARE 0032064_AE
07/05/2026 13:31:06;40003;ETICHETE DIRECT TERMICE 90x60MM;DEPAMB;DEPAMB;;;0032066_DC;Depozit Principal;;Ajustare negativa;-13.5;Razvan Nistor;PRODUCTION-IN;0032066_DC;0032066_DC;31.03.26;BUCATA;Oceanis Seafood Europa S.R.L.;Order production number: DECONGELARE 0032066_DC
